1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0831081397666778,0.0786556388699684,0.0887261974127093,0.0877948021596541,0.098600270872754,0.0676723381260328,0.0,0.0221489412463101,0.0249340769984618,0.0,0.0705562206303399,0.0,0.0838244173737636,0.0,0.0063764318862599,0.0456326162013913,0.0171109595894807
0.3282167187740907,0.3283914373600888,0.3301101874164506,0.3271647335682477,0.3309410310528766,0.3224202009571096,0.3056941903652387,0.2383255969513303,0.2859026828136829,0.3100651416079368,0.3311784670431068,0.3231242598738287,0.3207090792553563,0.3044140154849818,0.3062042005904288,0.3090517351448211,0.3015664709132973
0.5658157856166905,0.5645610306476773,0.5665473434144663,0.5634374614490383,0.5732942598133427,0.5593077248511831,0.43003029533634,0.4926366876154637,0.4996676168122959,0.5433419708243702,0.5699493188462846,0.5592726223227242,0.5583205831736011,0.5347304304146051,0.5400826726909835,0.5427782868038898,0.5307292765154322
0.7867145326361646,0.7866796512050774,0.7870366155003207,0.7852035601612131,0.7968685918958267,0.7849518748180118,0.5535675285147549,0.7022805153702366,0.7985534332364673,0.6742991340308558,0.7939938686762089,0.6874062739262999,0.7832259028497678,0.7678266021630952,0.7703807504716222,0.770774065065743,0.7531445849421841
0.8256,0.8256,0.8256,0.8256,0.8256,0.8256,0.5782388204582181,0.7490181045476627,0.8256,0.6836070958513232,0.8256,0.7650223765187846,0.8256,0.8256,0.8256,0.8256,0.8256
0.8256,0.8256,0.8256,0.8256,0.8256,0.8256,0.6076303834109819,0.7958873322750425,0.8256,0.5157757420740345,0.8256,0.7040422222898048,0.8256,0.8256,0.8256,0.8256,0.8256
0.8256,0.8256,0.8256,0.8256,0.8245529894941424,0.8256,0.6199173916788938,0.6929653174784274,0.821697698735614,0.4853359712751988,0.8256,0.666876997946836,0.8256,0.8256,0.8256,0.8256,0.8238688631853243
0.60520887942494,0.6086353656262984,0.6058745438652894,0.6081857622914847,0.5985285087921169,0.634442784907372,0.6437112091235201,0.483060419365131,0.5909481342166398,0.5496752828183877,0.6128806217912511,0.5397210426211994,0.6175162167872318,0.6578838675789676,0.6464868345805732,0.6388962776002871,0.6102616782443587
0.3036866708167871,0.3070307407266818,0.3060843397376691,0.3115181100080022,0.2934060031842161,0.3371150451856161,0.3466686176533466,0.2047336949272152,0.2747276187726221,0.3383179552102573,0.3060834163126136,0.3160001739940306,0.3184161832326846,0.3636686223677217,0.3510794976924002,0.3433061937335477,0.3206386976622559
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
