0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.476424889,0.476424889,0.476424889,0.476424889,0.476424889,0.476424889,0.476424889,0.219372872,0.219372872,0.476424889,0.476424889,0.476424889,0.476424889,0.459983845,0.459983845,0.459983845,0.459983845
0.51832465,0.51832465,0.51832465,0.51832465,0.51832465,0.51832465,0.51832465,0.285283791,0.285283791,0.51832465,0.51832465,0.51832465,0.51832465,0.522905622,0.522905622,0.522905622,0.522905622
0.561569763,0.561569763,0.561569763,0.561569763,0.561569763,0.561569763,0.561569763,0.349175868,0.349175868,0.561569763,0.561569763,0.561569763,0.561569763,0.579289648,0.579289648,0.579289648,0.579289648
0.587752999,0.587752999,0.587752999,0.587752999,0.587752999,0.587752999,0.587752999,0.401467534,0.401467534,0.587752999,0.587752999,0.587752999,0.587752999,0.668788738,0.668788738,0.668788738,0.668788738
0.604735586,0.604735586,0.604735586,0.604735586,0.604735586,0.604735586,0.604735586,0.436775515,0.436775515,0.604735586,0.604735586,0.604735586,0.604735586,0.700553056,0.700553056,0.700553056,0.700553056
0.624706188,0.624706188,0.624706188,0.624706188,0.624706188,0.624706188,0.624706188,0.467454116,0.467454116,0.624706188,0.624706188,0.624706188,0.624706188,0.76150452,0.76150452,0.76150452,0.76150452
0.638097146,0.638097146,0.638097146,0.638097146,0.638097146,0.638097146,0.638097146,0.499615561,0.499615561,0.638097146,0.638097146,0.638097146,0.638097146,0.768681663,0.768681663,0.768681663,0.768681663
0.642053569,0.642053569,0.642053569,0.642053569,0.642053569,0.642053569,0.642053569,0.563363141,0.563363141,0.642053569,0.642053569,0.642053569,0.642053569,0.790050948,0.790050948,0.790050948,0.790050948
0.631722172,0.631722172,0.631722172,0.631722172,0.631722172,0.631722172,0.631722172,0.641401049,0.641401049,0.631722172,0.631722172,0.631722172,0.631722172,0.793838073,0.793838073,0.793838073,0.793838073
0.597424204,0.597424204,0.597424204,0.597424204,0.597424204,0.597424204,0.597424204,0.688384604,0.688384604,0.597424204,0.597424204,0.597424204,0.597424204,0.795565291,0.795565291,0.795565291,0.795565291
0.53429294,0.53429294,0.53429294,0.53429294,0.53429294,0.53429294,0.53429294,0.722219288,0.722219288,0.53429294,0.53429294,0.53429294,0.53429294,0.737759277,0.737759277,0.737759277,0.737759277
0.520175008,0.520175008,0.520175008,0.520175008,0.520175008,0.520175008,0.520175008,0.741768562,0.741768562,0.520175008,0.520175008,0.520175008,0.520175008,0.599698618,0.599698618,0.599698618,0.599698618
0.528913324,0.528913324,0.528913324,0.528913324,0.528913324,0.528913324,0.528913324,0.753255586,0.753255586,0.528913324,0.528913324,0.528913324,0.528913324,0.532725873,0.532725873,0.532725873,0.532725873
0.49626775,0.49626775,0.49626775,0.49626775,0.49626775,0.49626775,0.49626775,0.760703591,0.760703591,0.49626775,0.49626775,0.49626775,0.49626775,0.47037775,0.47037775,0.47037775,0.47037775
0.432759746,0.432759746,0.432759746,0.432759746,0.432759746,0.432759746,0.432759746,0.762104675,0.762104675,0.432759746,0.432759746,0.432759746,0.432759746,0.46692443,0.46692443,0.46692443,0.46692443
0.375872105,0.375872105,0.375872105,0.375872105,0.375872105,0.375872105,0.375872105,0.754341374,0.754341374,0.375872105,0.375872105,0.375872105,0.375872105,0.466379202,0.466379202,0.466379202,0.466379202
