line_num,from_node,to_node,is_existing,maxFlow,susceptance,length
0.0,8.0,0.0,1.0,2779.33,178.22135091783997,110.35648430317315
1.0,11.0,8.0,1.0,2501.83,123.67054167697255,75.55497581946905
2.0,8.0,11.0,1.0,2438.37,101.35819987837016,75.55497581946905
3.0,6.0,10.0,1.0,2601.13,240.2691013935608,70.96121812310456
4.0,11.0,10.0,1.0,2316.57,382.70187523918867,44.54776594011595
5.0,10.0,1.0,1.0,2751.34,180.05041411595246,34.15252038696281
6.0,9.0,11.0,1.0,2334.51,160.59097478721696,92.84799726806571
7.0,12.0,4.0,1.0,2400.29,280.8988764044944,10.663627546918883
8.0,1.0,0.0,1.0,2946.6,186.67164457718874,29.36306138057872
9.0,6.0,15.0,1.0,2417.7,250.4382669671926,23.329966495429137
10.0,5.0,6.0,1.0,2729.83,204.29009193054137,37.672642571934965
11.0,5.0,1.0,1.0,2622.23,299.1325157044571,30.13417189088099
12.0,3.0,2.0,1.0,2576.66,246.97456162015314,13.873851767841778
13.0,3.0,5.0,1.0,2377.46,143.348623853211,40.211073265615546
14.0,4.0,3.0,1.0,2849.6,229.20009168003668,29.455643631933192
15.0,5.0,1.0,1.0,2652.96,160.926939169617,30.13417189088099
16.0,3.0,1.0,1.0,2778.79,357.5259206292456,24.08865138129638
17.0,12.0,4.0,1.0,2579.01,420.5214465937763,10.663627546918883
18.0,4.0,12.0,1.0,2599.69,275.9381898454746,10.663627546918883
19.0,3.0,1.0,1.0,2702.71,295.68302779420463,24.08865138129638
20.0,5.0,3.0,1.0,2018.71,517.5983436853003,40.211073265615546
21.0,5.0,3.0,1.0,2645.36,153.1628120692296,40.211073265615546
22.0,14.0,13.0,1.0,3167.1,200.32051282051282,25.693454395321737
23.0,14.0,13.0,1.0,3190.89,246.9135802469136,25.693454395321737
24.0,14.0,15.0,1.0,2915.51,350.5082369435682,32.664260256933254
25.0,15.0,16.0,1.0,2884.84,203.08692120227457,27.82480057121703
26.0,15.0,16.0,1.0,2767.86,341.76349965823647,27.82480057121703
27.0,15.0,5.0,1.0,2932.49,126.83916793505834,53.66457534470597
28.0,14.0,16.0,1.0,2996.38,234.96240601503757,20.396517495509162
29.0,14.0,16.0,1.0,3113.08,249.8750624687656,20.396517495509162
30.0,0.0,2.0,0.0,2686.2943333333333,244.78143992745302,22.865263340084518
31.0,0.0,1.0,0.0,2686.2943333333333,244.78143992745302,29.36306138057872
32.0,0.0,3.0,0.0,2686.2943333333333,244.78143992745302,36.40260864573793
