Hour of year,Demand (MW),Demand (MW)-90%fromHydro
1,26065.8,23459.22
2,25944.3,23349.87
3,25414.1,22872.69
4,25271.4,22744.26
5,25413.1,22871.79
6,25741.4,23167.26
7,26330.3,23697.27
8,27308.2,24577.38
9,27572.4,24815.16
10,28307.1,25476.39
11,28956,26060.4
12,28778,25900.2
13,28595.3,25735.77
14,28331.6,25498.44
15,27942.9,25148.61
16,28080.7,25272.63
17,28879.9,25991.91
18,29407.2,26466.48
19,29154.4,26238.96
20,28456.3,25610.67
21,28190.6,25371.54
22,27602.7,24842.43
23,26457.6,23811.84
24,25854.6,23269.14
25,25241.7,22717.53
26,24983.8,22485.42
27,24775.3,22297.77
28,24890.9,22401.81
29,25197.2,22677.48
30,25515.3,22963.77
31,26077.9,23470.11
32,26177.2,23559.48
33,26364.9,23728.41
34,27228,24505.2
35,28016.9,25215.21
36,28159.6,25343.64
37,27702.6,24932.34
38,27472.7,24725.43
39,27600.8,24840.72
40,28219.1,25397.19
41,30367.7,27330.93
42,31466.3,28319.67
43,31538.5,28384.65
44,30983.5,27885.15
45,30427.1,27384.39
46,29566.9,26610.21
47,28875,25987.5
48,27866.4,25079.76
49,27790.9,25011.81
50,27588.4,24829.56
51,27731.7,24958.53
52,28085.7,25277.13
53,28853.4,25968.06
54,30244.7,27220.23
55,31841.3,28657.17
56,33048,29743.2
57,33715.3,30343.77
58,33963.6,30567.24
59,33386.4,30047.76
60,34169.7,30752.73
61,33651.2,30286.08
62,33337.7,30003.93
63,33759.2,30383.28
64,35027.5,31524.75
65,37310.9,33579.81
66,38156.8,34341.12
67,37550.7,33795.63
68,37446.5,33701.85
69,36705.7,33035.13
70,36100.5,32490.45
71,35406.1,31865.49
72,32713,29441.7
73,32839,29555.1
74,33111.5,29800.35
75,33493.9,30144.51
76,33089.3,29780.37
77,33653.8,30288.42
78,34809.8,31328.82
79,36552.7,32897.43
80,37745,33970.5
81,37981.3,34183.17
82,37599.5,33839.55
83,36997.3,33297.57
84,37072.2,33364.98
85,36985.9,33287.31
86,37133.1,33419.79
87,37101.6,33391.44
88,37039.7,33335.73
89,37359.6,33623.64
90,38220.5,34398.45
91,37664.6,33898.14
92,36898.5,33208.65
93,35639,32075.1
94,35018.1,31516.29
95,33394.5,30055.05
96,31624,28461.6
97,30883.7,27795.33
98,30355,27319.5
99,30383.1,27344.79
100,29564.4,26607.96
101,29527.9,26575.11
102,31022.6,27920.34
103,33062.2,29755.98
104,34206.8,30786.12
105,33955.1,30559.59
106,32605.5,29344.95
107,32038.2,28834.38
108,31646.9,28482.21
109,30938.3,27844.47
110,30764.7,27688.23
111,30894.3,27804.87
112,31987.4,28788.66
113,34268.8,30841.92
114,35702.5,32132.25
115,35550.4,31995.36
116,35430,31887
117,34848.4,31363.56
118,33979.5,30581.55
119,32813.9,29532.51
120,30936.3,27842.67
121,30119.2,27107.28
122,29893,26903.7
123,29905.5,26914.95
124,30138.7,27124.83
125,30688.7,27619.83
126,32042.3,28838.07
127,33708.5,30337.65
128,36521.3,32869.17
129,36557.7,32901.93
130,37117.6,33405.84
131,36802.4,33122.16
132,37168.9,33452.01
133,36710.2,33039.18
134,36574.2,32916.78
135,35413.2,31871.88
136,36082.2,32473.98
137,36880.2,33192.18
138,37124.3,33411.87
139,36740.4,33066.36
140,35825.7,32243.13
141,34909.5,31418.55
142,34006.2,30605.58
143,33064.9,29758.41
144,30849.6,27764.64
145,29950,26955
146,29339.1,26405.19
147,29131.4,26218.26
148,28981.7,26083.53
149,29049,26144.1
150,29564.8,26608.32
151,30543.5,27489.15
152,31157,28041.3
153,32152.9,28937.61
154,32524,29271.6
155,32846.8,29562.12
156,33378.5,30040.65
157,32580.6,29322.54
158,32094,28884.6
159,31500.1,28350.09
160,31039.7,27935.73
161,31622.3,28460.07
162,32724.5,29452.05
163,32002.4,28802.16
164,31265.6,28139.04
165,30513.7,27462.33
166,29903.1,26912.79
167,28681.4,25813.26
168,27948.2,25153.38
169,26730.4,24057.36
170,26472.8,23825.52
171,26327.5,23694.75
172,26382.4,23744.16
173,26693,24023.7
174,27546.8,24792.12
175,28544.8,25690.32
176,29510.7,26559.63
177,30375.3,27337.77
178,31233.4,28110.06
179,31090.8,27981.72
180,30903.1,27812.79
181,30585.7,27527.13
182,29992.7,26993.43
183,29925.5,26932.95
184,30009.4,27008.46
185,32616.9,29355.21
186,34162.5,30746.25
187,34059.9,30653.91
188,33586.1,30227.49
189,32908,29617.2
190,32511.4,29260.26
191,31053.1,27947.79
192,29740.4,26766.36
193,29642.4,26678.16
194,29902.7,26912.43
195,29718.3,26746.47
196,30146.1,27131.49
197,30271.7,27244.53
198,32404.4,29163.96
199,34053.9,30648.51
200,36433.5,32790.15
201,36273.7,32646.33
202,35933.9,32340.51
203,35622.2,32059.98
204,35092.7,31583.43
205,34429,30986.1
206,33881,30492.9
207,32939,29645.1
208,33439.4,30095.46
209,34845.5,31360.95
210,36717.1,33045.39
211,35865.9,32279.31
212,35141.4,31627.26
213,34096.8,30687.12
214,33006.1,29705.49
215,31463.2,28316.88
216,28887.8,25999.02
217,27930.9,25137.81
218,27515.6,24764.04
219,27154.2,24438.78
220,27035.8,24332.22
221,27013.4,24312.06
222,28143.9,25329.51
223,30507.3,27456.57
224,32923.1,29630.79
225,32529,29276.1
226,31639.6,28475.64
227,30522.3,27470.07
228,30462.2,27415.98
229,29960,26964
230,29629.6,26666.64
231,29776.7,26799.03
232,30478.4,27430.56
233,33367.1,30030.39
234,35340.9,31806.81
235,35182,31663.8
236,34998,31498.2
237,34493.2,31043.88
238,33670.7,30303.63
239,32699.9,29429.91
240,30291.2,27262.08
241,29810.2,26829.18
242,30113.7,27102.33
243,30392.1,27352.89
244,30783.8,27705.42
245,31278.4,28150.56
246,32781.2,29503.08
247,36333.3,32699.97
248,37855.1,34069.59
249,37748.1,33973.29
250,36629.3,32966.37
251,36380.3,32742.27
252,35790.6,32211.54
253,35565.2,32008.68
254,35553.2,31997.88
255,35590,32031
256,36480.6,32832.54
257,38481.3,34633.17
258,39159.3,35243.37
259,39154.3,35238.87
260,38381.6,34543.44
261,37439.6,33695.64
262,36728.8,33055.92
263,34869.3,31382.37
264,32071.5,28864.35
265,31260.8,28134.72
266,30854.2,27768.78
267,30797.8,27718.02
268,30849,27764.1
269,31166.1,28049.49
270,32949.6,29654.64
271,35800.2,32220.18
272,37425.4,33682.86
273,36974.8,33277.32
274,36223.2,32600.88
275,35880.3,32292.27
276,35975.6,32378.04
277,35080,31572
278,35308.5,31777.65
279,34904.9,31414.41
280,35243,31718.7
281,36631.8,32968.62
282,38018.3,34216.47
283,37747.1,33972.39
284,36983.2,33284.88
285,36162.9,32546.61
286,34919.6,31427.64
287,33367.2,30030.48
288,30925.6,27833.04
289,30070.3,27063.27
290,29782.7,26804.43
291,29630.5,26667.45
292,29674.7,26707.23
293,29989.1,26990.19
294,30787.4,27708.66
295,33657,30291.3
296,35746.4,32171.76
297,35227,31704.3
298,34850.3,31365.27
299,34602.8,31142.52
300,34478.1,31030.29
301,34148.4,30733.56
302,33672.1,30304.89
303,33438.6,30094.74
304,33770.8,30393.72
305,35319.7,31787.73
306,36412.7,32771.43
307,36254.3,32628.87
308,34592.8,31133.52
309,33883,30494.7
310,32997.7,29697.93
311,31617.8,28456.02
312,29153.9,26238.51
313,28767,25890.3
314,28829.7,25946.73
315,28999.5,26099.55
316,29452,26506.8
317,29949.8,26954.82
318,30773,27695.7
319,32276.7,29049.03
320,33932.4,30539.16
321,34592.7,31133.43
322,34719.8,31247.82
323,35099,31589.1
324,34366,30929.4
325,33558.5,30202.65
326,32915.5,29623.95
327,32958.4,29662.56
328,34541.1,31086.99
329,36501.9,32851.71
330,37976.4,34178.76
331,37670.9,33903.81
332,37084.3,33375.87
333,36697.8,33028.02
334,36028.2,32425.38
335,35430.2,31887.18
336,34266.6,30839.94
337,33672.5,30305.25
338,33515,30163.5
339,33925.9,30533.31
340,34017,30615.3
341,34373.5,30936.15
342,35070.4,31563.36
343,36367.2,32730.48
344,35831.1,32247.99
345,35772.9,32195.61
346,35414,31872.6
347,34873.2,31385.88
348,34312.3,30881.07
349,33516.8,30165.12
350,32654.4,29388.96
351,32910.5,29619.45
352,33470.3,30123.27
353,35719.4,32147.46
354,37267.1,33540.39
355,37022.2,33319.98
356,36850,33165
357,36060.8,32454.72
358,35358.8,31822.92
359,34533.2,31079.88
360,35036,31532.4
361,33049.5,29744.55
362,33478.5,30130.65
363,33429.5,30086.55
364,33622.8,30260.52
365,33899,30509.1
366,34263.1,30836.79
367,37554.3,33798.87
368,39259.8,35333.82
369,37797,34017.3
370,37087.3,33378.57
371,37102.8,33392.52
372,36110.1,32499.09
373,35323.5,31791.15
374,34995.8,31496.22
375,35382.6,31844.34
376,35736.7,32163.03
377,36825.5,33142.95
378,37734.4,33960.96
379,37137.8,33424.02
380,36972.1,33274.89
381,36536.2,32882.58
382,34950.4,31455.36
383,33411,30069.9
384,30586.7,27528.03
385,31554.5,28399.05
386,31185.9,28067.31
387,31033.3,27929.97
388,30935,27841.5
389,30950.2,27855.18
390,31827.9,28645.11
391,34560.7,31104.63
392,36293.1,32663.79
393,35850.8,32265.72
394,35107.2,31596.48
395,34922,31429.8
396,34761.7,31285.53
397,34370.8,30933.72
398,34104.7,30694.23
399,33810.4,30429.36
400,34182.3,30764.07
401,35475.3,31927.77
402,36788,33109.2
403,36472,32824.8
404,36044.3,32439.87
405,34962.9,31466.61
406,33418.8,30076.92
407,32179.8,28961.82
408,28878.8,25990.92
409,28505.7,25655.13
410,28032.1,25228.89
411,28061.2,25255.08
412,28221.5,25399.35
413,28500.1,25650.09
414,30535.4,27481.86
415,33564.1,30207.69
416,35881.6,32293.44
417,36059.7,32453.73
418,35127,31614.3
419,34856.5,31370.85
420,34209,30788.1
421,33575.2,30217.68
422,33279.6,29951.64
423,33111,29799.9
424,33768.7,30391.83
425,36577.6,32919.84
426,38648.9,34784.01
427,38071.6,34264.44
428,38074.1,34266.69
429,37567.3,33810.57
430,36560.2,32904.18
431,35092.7,31583.43
432,32810.4,29529.36
433,32301.6,29071.44
434,32494.1,29244.69
435,32374.4,29136.96
436,32834.4,29550.96
437,33593,30233.7
438,35608.1,32047.29
439,38416.1,34574.49
440,40143.6,36129.24
441,38704,34833.6
442,36819.4,33137.46
443,35984.8,32386.32
444,35526.2,31973.58
445,34382,30943.8
446,33696.8,30327.12
447,34086.7,30678.03
448,35751.9,32176.71
449,37299.9,33569.91
450,39178.1,35260.29
451,38740.5,34866.45
452,37550.4,33795.36
453,36856.4,33170.76
454,35435.5,31891.95
455,34420,30978
456,31946.9,28752.21
457,31204.4,28083.96
458,30528.9,27476.01
459,30574.6,27517.14
460,30577.8,27520.02
461,31211,28089.9
462,32151.4,28936.26
463,35592.1,32032.89
464,37512.8,33761.52
465,36742.3,33068.07
466,35134.8,31621.32
467,34329,30896.1
468,33864.4,30477.96
469,33464.8,30118.32
470,33267.9,29941.11
471,33285.3,29956.77
472,34623.5,31161.15
473,36964.4,33267.96
474,38951.5,35056.35
475,38963,35066.7
476,38484.6,34636.14
477,37699,33929.1
478,36904.8,33214.32
479,36177.9,32560.11
480,34068.8,30661.92
481,33473.7,30126.33
482,32994.7,29695.23
483,33250.4,29925.36
484,33496.4,30146.76
485,33734.8,30361.32
486,34024.1,30621.69
487,35412.8,31871.52
488,36572.3,32915.07
489,37315.7,33584.13
490,37653.2,33887.88
491,37561.5,33805.35
492,36749.5,33074.55
493,35468.8,31921.92
494,33505.3,30154.77
495,32753.2,29477.88
496,33223.7,29901.33
497,35614.8,32053.32
498,37464.4,33717.96
499,36962.1,33265.89
500,36459.5,32813.55
501,35989.2,32390.28
502,35394.2,31854.78
503,34436.2,30992.58
504,33774.2,30396.78
505,33751.9,30376.71
506,33475.1,30127.59
507,33645.1,30280.59
508,33798.1,30418.29
509,34270.4,30843.36
510,34967.1,31470.39
511,35836.6,32252.94
512,36863.2,33176.88
513,37321.9,33589.71
514,36866.5,33179.85
515,35821.2,32239.08
516,35304,31773.6
517,34809.4,31328.46
518,33853.3,30467.97
519,33553.5,30198.15
520,33508.9,30158.01
521,35939.7,32345.73
522,37527.8,33775.02
523,37022.2,33319.98
524,37579.7,33821.73
525,35543,31988.7
526,34653.4,31188.06
527,33261.3,29935.17
528,31874.8,28687.32
529,31307.4,28176.66
530,31072,27964.8
531,31304.1,28173.69
532,31405.6,28265.04
533,31604.7,28444.23
534,32427.4,29184.66
535,34892.1,31402.89
536,37248.3,33523.47
537,36384.2,32745.78
538,35077.5,31569.75
539,34294.4,30864.96
540,33495.3,30145.77
541,32906.2,29615.58
542,32739.2,29465.28
543,32462.9,29216.61
544,32768.5,29491.65
545,33894,30504.6
546,36183.2,32564.88
547,35652.2,32086.98
548,33914.6,30523.14
549,32591.8,29332.62
550,31412,28270.8
551,30324.9,27292.41
552,27773.2,24995.88
553,26518.5,23866.65
554,25770,23193
555,25495.6,22946.04
556,25410,22869
557,25863.4,23277.06
558,26707.3,24036.57
559,29563.7,26607.33
560,31720.1,28548.09
561,31565,28408.5
562,31231.9,28108.71
563,31173.1,28055.79
564,31029.4,27926.46
565,30806.4,27725.76
566,30931.9,27838.71
567,30895,27805.5
568,30909.3,27818.37
569,32168.2,28951.38
570,33760.9,30384.81
571,33446.9,30102.21
572,32774.4,29496.96
573,31897.6,28707.84
574,30755.3,27679.77
575,30030.2,27027.18
576,26883.7,24195.33
577,26229.2,23606.28
578,26069.9,23462.91
579,25823.7,23241.33
580,26013.4,23412.06
581,26829,24146.1
582,28072.3,25265.07
583,30747.3,27672.57
584,32956.4,29660.76
585,34216.9,30795.21
586,32511.6,29260.44
587,31205.2,28084.68
588,30466.1,27419.49
589,30354.3,27318.87
590,29993.7,26994.33
591,29801.4,26821.26
592,30554,27498.6
593,32625.6,29363.04
594,35025.6,31523.04
595,35278,31750.2
596,34842.7,31358.43
597,33947.3,30552.57
598,33358.5,30022.65
599,32079.6,28871.64
600,29248.4,26323.56
601,28774.6,25897.14
602,28661.2,25795.08
603,29036.2,26132.58
604,29349,26414.1
605,29946,26951.4
606,31201.3,28081.17
607,34202.2,30781.98
608,36079.2,32471.28
609,35191.1,31671.99
610,33023.6,29721.24
611,32042.3,28838.07
612,31104.6,27994.14
613,30062.7,27056.43
614,29659.8,26693.82
615,29894.3,26904.87
616,30897.1,27807.39
617,32665.9,29399.31
618,34862.8,31376.52
619,34650.8,31185.72
620,34258.4,30832.56
621,33521.4,30169.26
622,32525.3,29272.77
623,31976.7,28779.03
624,30068.3,27061.47
625,29063.6,26157.24
626,29187.2,26268.48
627,29009.8,26108.82
628,28811.6,25930.44
629,29156.6,26240.94
630,30427.3,27384.57
631,31854.5,28669.05
632,34629.8,31166.82
633,34330.9,30897.81
634,34033.5,30630.15
635,34302.5,30872.25
636,34268.1,30841.29
637,33715,30343.5
638,33483.5,30135.15
639,33236.8,29913.12
640,33213.1,29891.79
641,34034.1,30630.69
642,35302.1,31771.89
643,34882.8,31394.52
644,33996,30596.4
645,33045.6,29741.04
646,31813.5,28632.15
647,30987,27888.3
648,28075.7,25268.13
649,27090.3,24381.27
650,26527.3,23874.57
651,26290.6,23661.54
652,26214.9,23593.41
653,26235.2,23611.68
654,26961.1,24264.99
655,27423.6,24681.24
656,28633.1,25769.79
657,29183.8,26265.42
658,29301.6,26371.44
659,29292.2,26362.98
660,29177.9,26260.11
661,28022,25219.8
662,27211.7,24490.53
663,26980.6,24282.54
664,27588,24829.2
665,29083,26174.7
666,31047.9,27943.11
667,30690.1,27621.09
668,29804.5,26824.05
669,29165.1,26248.59
670,28622.3,25760.07
671,28181.4,25363.26
672,26836.9,24153.21
673,26420.9,23778.81
674,26145.4,23530.86
675,26218.9,23597.01
676,26370,23733
677,27033.5,24330.15
678,27613.1,24851.79
679,28859,25973.1
680,29760.9,26784.81
681,29573.4,26616.06
682,29941.2,26947.08
683,29368.4,26431.56
684,29009.4,26108.46
685,28557.8,25702.02
686,27884.5,25096.05
687,27474.2,24726.78
688,27902.5,25112.25
689,29515.2,26563.68
690,31874.6,28687.14
691,32060.7,28854.63
692,31512.3,28361.07
693,30790.9,27711.81
694,29815.7,26834.13
695,29078.3,26170.47
696,27791,25011.9
697,26809.9,24128.91
698,26691.2,24022.08
699,27218.4,24496.56
700,27495.5,24745.95
701,28151,25335.9
702,29784.1,26805.69
703,33387.5,30048.75
704,35614.3,32052.87
705,34735.6,31262.04
706,33568.2,30211.38
707,32810.9,29529.81
708,32026.5,28823.85
709,31277.3,28149.57
710,31087.1,27978.39
711,30718.7,27646.83
712,31396.8,28257.12
713,34116,30704.4
714,36903.5,33213.15
715,36662.8,32996.52
716,36472.4,32825.16
717,35539.5,31985.55
718,34767.7,31290.93
719,33743.5,30369.15
720,31138,28024.2
721,30403.3,27362.97
722,30394.2,27354.78
723,30380.7,27342.63
724,30318.2,27286.38
725,30751,27675.9
726,32426.3,29183.67
727,34973.1,31475.79
728,37386.6,33647.94
729,36660.5,32994.45
730,35369.4,31832.46
731,35046.9,31542.21
732,34514.2,31062.78
733,34273.8,30846.42
734,33955.4,30559.86
735,34289.1,30860.19
736,35045.7,31541.13
737,36307,32676.3
738,37954.2,34158.78
739,37657.8,33892.02
740,36890.7,33201.63
741,36119.2,32507.28
742,34975.3,31477.77
743,33777.9,30400.11
744,30888.3,27799.47
745,29876.1,26888.49
746,29724.5,26752.05
747,29750.9,26775.81
748,29668.1,26701.29
749,30064.9,27058.41
750,31504.7,28354.23
751,33682.5,30314.25
752,35278.8,31750.92
753,35575,32017.5
754,34544.7,31090.23
755,34071.7,30664.53
756,33867.5,30480.75
757,33465.9,30119.31
758,33224.6,29902.14
759,33026.1,29723.49
760,33081.8,29773.62
761,33706.2,30335.58
762,35489.7,31940.73
763,35094.5,31585.05
764,34526.3,31073.67
765,33718.3,30346.47
766,32498.8,29248.92
767,31338,28204.2
768,28914,26022.6
769,28405.4,25564.86
770,27995.2,25195.68
771,28042.7,25238.43
772,28141.3,25327.17
773,28725.2,25852.68
774,30191,27171.9
775,32533.5,29280.15
776,35430.2,31887.18
777,34838.4,31354.56
778,32840.7,29556.63
779,31258.4,28132.56
780,31002.5,27902.25
781,30132.3,27119.07
782,29764,26787.6
783,29747.9,26773.11
784,30506.1,27455.49
785,32883.7,29595.33
786,35063.1,31556.79
787,35270.4,31743.36
788,34993.9,31494.51
789,34516,31064.4
790,33590.9,30231.81
791,32429.4,29186.46
792,30215.2,27193.68
793,29683.3,26714.97
794,29762.4,26786.16
795,29932.4,26939.16
796,30418.7,27376.83
797,31107.3,27996.57
798,32457.9,29212.11
799,35297.3,31767.57
800,37350.5,33615.45
801,36546.8,32892.12
802,34991.6,31492.44
803,33898.6,30508.74
804,33322.2,29989.98
805,32628,29365.2
806,32140.2,28926.18
807,32145.4,28930.86
808,32469.9,29222.91
809,33498.4,30148.56
810,35210.6,31689.54
811,34893.3,31403.97
812,34198.6,30778.74
813,33506.1,30155.49
814,32232,29008.8
815,31402.2,28261.98
816,28775.4,25897.86
817,28120.6,25308.54
818,27804.3,25023.87
819,27914.2,25122.78
820,28175.4,25357.86
821,28702.4,25832.16
822,29509.1,26558.19
823,31035.6,27932.04
824,32015.1,28813.59
825,31690.3,28521.27
826,30951.4,27856.26
827,30476,27428.4
828,29823.1,26840.79
829,28913.4,26022.06
830,27987.1,25188.39
831,27478.2,24730.38
832,27702.9,24932.61
833,29259,26333.1
834,32452.3,29207.07
835,32754.8,29479.32
836,32215.9,28994.31
837,31870.2,28683.18
838,31892.7,28703.43
839,30726.1,27653.49
840,30063.9,27057.51
841,29851.5,26866.35
842,29971.9,26974.71
843,30321.8,27289.62
844,30851,27765.9
845,31225.4,28102.86
846,32248.4,29023.56
847,33486,30137.4
848,34393.7,30954.33
849,34261.7,30835.53
850,33402,30061.8
851,32390.2,29151.18
852,31347.4,28212.66
853,30790.3,27711.27
854,29671,26703.9
855,29668.3,26701.47
856,30254,27228.6
857,31791.7,28612.53
858,34161.7,30745.53
859,34063.9,30657.51
860,33092.2,29782.98
861,31862,28675.8
862,31016.6,27914.94
863,30380.1,27342.09
864,28436.7,25593.03
865,27873.5,25086.15
866,27554,24798.6
867,26975.2,24277.68
868,27593.8,24834.42
869,27522.4,24770.16
870,28690.7,25821.63
871,30934.5,27841.05
872,33149.4,29834.46
873,32438.1,29194.29
874,31750.1,28575.09
875,31577.8,28420.02
876,31312.3,28181.07
877,30658.1,27592.29
878,30460.4,27414.36
879,30296.7,27267.03
880,30428.5,27385.65
881,31337.9,28204.11
882,33307.3,29976.57
883,32847.7,29562.93
884,32349,29114.1
885,30720.4,27648.36
886,29548.4,26593.56
887,28944.9,26050.41
888,26089.6,23480.64
889,25534.3,22980.87
890,25315.3,22783.77
891,25186,22667.4
892,25466.9,22920.21
893,26094.5,23485.05
894,27481.9,24733.71
895,30528,27475.2
896,33155.4,29839.86
897,32416.1,29174.49
898,31354.2,28218.78
899,30389.6,27350.64
900,29995.1,26995.59
901,29262.5,26336.25
902,28607.3,25746.57
903,28443.7,25599.33
904,28914.5,26023.05
905,31069.2,27962.28
906,34076.3,30668.67
907,34729.6,31256.64
908,34858.6,31372.74
909,34056.4,30650.76
910,33503.8,30153.42
911,33088.6,29779.74
912,30149.8,27134.82
913,30014.8,27013.32
914,30000.3,27000.27
915,30524.3,27471.87
916,30697.2,27627.48
917,31506.1,28355.49
918,32708.8,29437.92
919,36384,32745.6
920,37752.2,33976.98
921,36136.2,32522.58
922,34324.4,30891.96
923,32881,29592.9
924,31681.3,28513.17
925,30788.2,27709.38
926,30072.6,27065.34
927,29755,26779.5
928,29795.2,26815.68
929,31459,28313.1
930,34299.1,30869.19
931,35568.3,32011.47
932,34517.7,31065.93
933,33481.2,30133.08
934,32655.5,29389.95
935,31619.7,28457.73
936,29219.6,26297.64
937,28515.5,25663.95
938,28316.2,25484.58
939,28414.6,25573.14
940,28553.1,25697.79
941,28730.8,25857.72
942,30238.7,27214.83
943,33188.2,29869.38
944,35046.2,31541.58
945,33648.4,30283.56
946,31345.5,28210.95
947,30692,27622.8
948,29985,26986.5
949,28805.1,25924.59
950,28169.6,25352.64
951,27664.5,24898.05
952,27965.6,25169.04
953,29443.1,26498.79
954,31921.6,28729.44
955,33535.5,30181.95
956,32673.8,29406.42
957,31793.5,28614.15
958,30850.8,27765.72
959,30212,27190.8
960,27741.7,24967.53
961,27003.2,24302.88
962,26715.2,24043.68
963,26820.1,24138.09
964,26865.3,24178.77
965,27375,24637.5
966,27928.3,25135.47
967,30848.7,27763.83
968,32931.6,29638.44
969,32551.6,29296.44
970,31669.7,28502.73
971,31135.7,28022.13
972,30922.6,27830.34
973,30478.3,27430.47
974,29905.5,26914.95
975,29629.2,26666.28
976,29992.2,26992.98
977,31135.3,28021.77
978,32909.1,29618.19
979,32603.9,29343.51
980,32032.4,28829.16
981,31134.1,28020.69
982,30682.7,27614.43
983,29849.7,26864.73
984,27363.9,24627.51
985,27390.8,24651.72
986,27217.2,24495.48
987,27687.3,24918.57
988,28243.9,25419.51
989,28957.4,26061.66
990,29714.9,26743.41
991,31342.3,28208.07
992,32288.1,29059.29
993,33552.7,30197.43
994,33824.9,30442.41
995,33205.3,29884.77
996,32532.9,29279.61
997,31617.8,28456.02
998,30477.9,27430.11
999,29846.4,26861.76
1000,30126.5,27113.85
1001,31637.8,28474.02
1002,34232.1,30808.89
1003,34566.3,31109.67
1004,34151.9,30736.71
1005,33599.7,30239.73
1006,33075,29767.5
1007,32577.6,29319.84
1008,31680.5,28512.45
1009,31103.3,27992.97
1010,31189.4,28070.46
1011,31302.8,28172.52
1012,31497,28347.3
1013,31823.8,28641.42
1014,32816.7,29535.03
1015,33980.3,30582.27
1016,33550.5,30195.45
1017,34110.1,30699.09
1018,33704.8,30334.32
1019,32593.8,29334.42
1020,31830.2,28647.18
1021,30902.2,27811.98
1022,29977.8,26980.02
1023,29674.8,26707.32
1024,30183.9,27165.51
1025,32239.8,29015.82
1026,35099.2,31589.28
1027,36567.9,32911.11
1028,35193.4,31674.06
1029,33751.9,30376.71
1030,32702.7,29432.43
1031,31636.1,28472.49
1032,30182.9,27164.61
1033,29484.9,26536.41
1034,29335.2,26401.68
1035,29542.5,26588.25
1036,29557.3,26601.57
1037,29948,26953.2
1038,31552.2,28396.98
1039,34073.2,30665.88
1040,35093.5,31584.15
1041,34562.9,31106.61
1042,33799.7,30419.73
1043,33258.6,29932.74
1044,32335,29101.5
1045,31190.5,28071.45
1046,30572.5,27515.25
1047,30471.7,27424.53
1048,30854.5,27769.05
1049,32480.3,29232.27
1050,35117.5,31605.75
1051,36181.7,32563.53
1052,34857.5,31371.75
1053,34182,30763.8
1054,32916.4,29624.76
1055,31808.8,28627.92
1056,29530.6,26577.54
1057,31115.7,28004.13
1058,31194.3,28074.87
1059,31456.2,28310.58
1060,31812.8,28631.52
1061,32141.7,28927.53
1062,33633.3,30269.97
1063,36310.8,32679.72
1064,38405.1,34564.59
1065,36769.3,33092.37
1066,35009.5,31508.55
1067,33992.8,30593.52
1068,32991.6,29692.44
1069,32059.7,28853.73
1070,31540.3,28386.27
1071,31346.2,28211.58
1072,31601.4,28441.26
1073,32812.1,29530.89
1074,34675.6,31208.04
1075,34774,31296.6
1076,33985.1,30586.59
1077,33024.7,29722.23
1078,31888.6,28699.74
1079,31211.6,28090.44
1080,28136.1,25322.49
1081,27530.5,24777.45
1082,27133.6,24420.24
1083,26927.6,24234.84
1084,26996.2,24296.58
1085,27296,24566.4
1086,28409.3,25568.37
1087,30522.3,27470.07
1088,33040,29736
1089,32323.6,29091.24
1090,31271.2,28144.08
1091,30399,27359.1
1092,29739,26765.1
1093,29319,26387.1
1094,29290.2,26361.18
1095,29244,26319.6
1096,29390.7,26451.63
1097,30672.9,27605.61
1098,32102.4,28892.16
1099,33732.2,30358.98
1100,32003.6,28803.24
1101,31182.4,28064.16
1102,30036.2,27032.58
1103,29347.7,26412.93
1104,26429.9,23786.91
1105,25824.4,23241.96
1106,25417.2,22875.48
1107,24918.1,22426.29
1108,24982.3,22484.07
1109,25407.5,22866.75
1110,26769.8,24092.82
1111,29030,26127
1112,31497.7,28347.93
1113,31301.2,28171.08
1114,30085,27076.5
1115,29127.6,26214.84
1116,28384.6,25546.14
1117,27773.6,24996.24
1118,27348.9,24614.01
1119,26979.3,24281.37
1120,27703.8,24933.42
1121,28829.4,25946.46
1122,30912.3,27821.07
1123,30858.5,27772.65
1124,30625.8,27563.22
1125,29993.7,26994.33
1126,28987.7,26088.93
1127,28791.4,25912.26
1128,26144,23529.6
1129,25480.6,22932.54
1130,25157.3,22641.57
1131,25086.7,22578.03
1132,25167.6,22650.84
1133,25455.3,22909.77
1134,26779,24101.1
1135,28264.1,25437.69
1136,30914.6,27823.14
1137,30723.3,27650.97
1138,29667.5,26700.75
1139,29473.9,26526.51
1140,29347.6,26412.84
1141,28823.9,25941.51
1142,28412.2,25570.98
1143,28494.4,25644.96
1144,28892.8,26003.52
1145,29899.8,26909.82
1146,31566.6,28409.94
1147,31532.2,28378.98
1148,30941.6,27847.44
1149,29953.2,26957.88
1150,29009.2,26108.28
1151,28727.5,25854.75
1152,26112.2,23500.98
1153,25383.8,22845.42
1154,25153.7,22638.33
1155,25175.6,22658.04
1156,25013.2,22511.88
1157,25170.9,22653.81
1158,25939.1,23345.19
1159,26978.2,24280.38
1160,28157.2,25341.48
1161,28331.6,25498.44
1162,28377.8,25540.02
1163,28023.2,25220.88
1164,27784,25005.6
1165,27297.7,24567.93
1166,26729.3,24056.37
1167,26476.7,23829.03
1168,26667.6,24000.84
1169,27340.3,24606.27
1170,29301.1,26370.99
1171,29881,26892.9
1172,29340.3,26406.27
1173,28830.9,25947.81
1174,28168.1,25351.29
