Power_network_size,cluster_method,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,Metal-air-cost,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,e-shed-cost,storage1-cost,storage2-cost,tran-est-cost,trans_FOM,CCS-cost,emission_e,num-est-tran,total-str1-lev,total-str1-cap,num-est-str1,total-str2-lev,total-str2-cap,num-est-str2,total-flow,NG-cost,NG-import-cost,LCDF-import-cost,inv-storage,FOM-storage,g-shed-cost,pipe-est-cost,pipe_FOM,pipe_Dec_cost,emission_g,num-est-pipe,num_decom_pipe,num_operational_pipe,total-ng-shed,total-LCDF-import,total-flowGE,total-flowGL,Production:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
17,joint_CF_with_extreme_days,5,4,ME,0.85,0.5,True,True,False,no-metal-air,0.036444226379266066,1750.6281552314758,156984214730.17407,9377848863.532455,5804434922.4772625,136500000.0,2523626600.0,367821546.8331386,0.0,0.0,0.0,0.0,411426416.5038626,0.0,57246176.50883816,76793201.20935357,0.0,0.0,1,15414.854317647067,6822.449016867746,12,0,0,0,2030966.136412121,147606365866.64163,1041155660.377358,0.0,0.0,1054200000.0,145331855223.80383,148278982.46044457,14585999.999999998,16290000.0,10125000.000000002,3,18,10,145331855.22380406,0.0,0.0,1.0423340376883241e-08,Production:,0.0,471179.10488780035,4547709.340675801,25879376.77873049,0.0,64546474.14372864,22544588.057247654,0.0,19584886.05524001,37587599.55533688,50648493.287496276,0.0,established:,0.0,0.0,0.0,0.0,0.0,91.0,5.0,0.0,1964.0,868.0,1101.0,0.0,decommissioned:,33.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power_network_size,cluster_method,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,Metal-air-cost,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,e-shed-cost,storage1-cost,storage2-cost,tran-est-cost,trans_FOM,CCS-cost,emission_e,num-est-tran,total-str1-lev,total-str1-cap,num-est-str1,total-str2-lev,total-str2-cap,num-est-str2,total-flow,NG-cost,NG-import-cost,LCDF-import-cost,inv-storage,FOM-storage,g-shed-cost,pipe-est-cost,pipe_FOM,pipe_Dec_cost,emission_g,num-est-pipe,num_decom_pipe,num_operational_pipe,total-ng-shed,total-LCDF-import,total-flowGE,total-flowGL,Production:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
17,joint_CF_with_extreme_days,5,4,HE,0.8,0.5,True,True,False,no-metal-air,0.08718580772395951,1853.0832288265228,30360460168.00437,9918837128.936056,6232575495.260744,136500000.0,2687081600.0,389978481.5683078,0.0,0.0,0.0,0.0,400779460.5792334,0.0,0.0,71922091.52777812,0.0,0.0,0,14861.160989864928,6773.855418456758,10,0,0,0,1791249.7452418865,20441623039.068317,1388222984.286633,0.0,0.0,1054200000.0,17636481896.87768,319122157.9040003,32076000.0,11520000.0,13499999.999999996,6,14,17,17636481.89687766,0.0,0.0,257499.8636062308,Production:,0.0,471179.10488780023,4538044.363156284,23960476.30787366,0.0,64457115.527804054,33846451.9646436,0.0,19574914.117330007,37368183.42287292,59204914.4968281,0.0,established:,0.0,0.0,0.0,0.0,0.0,90.0,7.0,0.0,1963.0,868.0,1287.0,0.0,decommissioned:,33.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power_network_size,cluster_method,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,Metal-air-cost,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,e-shed-cost,storage1-cost,storage2-cost,tran-est-cost,trans_FOM,CCS-cost,emission_e,num-est-tran,total-str1-lev,total-str1-cap,num-est-str1,total-str2-lev,total-str2-cap,num-est-str2,total-flow,NG-cost,NG-import-cost,LCDF-import-cost,inv-storage,FOM-storage,g-shed-cost,pipe-est-cost,pipe_FOM,pipe_Dec_cost,emission_g,num-est-pipe,num_decom_pipe,num_operational_pipe,total-ng-shed,total-LCDF-import,total-flowGE,total-flowGL,Production:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
17,joint_CF_with_extreme_days,5,4,ME,0.9,0.5,True,True,False,no-metal-air,0.06963664205369756,2063.9255204200745,220309628294.39258,9374267908.907104,5812512258.873989,136500000.0,2526333600.0,358148441.2125001,0.0,0.0,0.0,0.0,406734231.1024227,0.0,57246176.50883816,76793201.20935357,0.0,0.0,1,15233.45257783167,6749.270878987746,11,0,0,0,1979235.0696387885,210935360385.48547,694109536.5533514,0.0,0.0,1054200000.0,209011100506.8228,140220342.10933346,23760000.0,11970000.0,6749999.999999998,3,14,14,209011100.50682276,0.0,0.0,96129.58210250962,Production:,0.0,471179.10488780035,4547709.340675801,26015132.745921485,0.0,61282401.376624666,25868217.164688483,0.0,19594857.993150003,37587599.555336885,50464484.22923114,0.0,established:,0.0,0.0,0.0,0.0,0.0,89.0,6.0,0.0,1965.0,868.0,1097.0,0.0,decommissioned:,33.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power_network_size,cluster_method,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,Metal-air-cost,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,e-shed-cost,storage1-cost,storage2-cost,tran-est-cost,trans_FOM,CCS-cost,emission_e,num-est-tran,total-str1-lev,total-str1-cap,num-est-str1,total-str2-lev,total-str2-cap,num-est-str2,total-flow,NG-cost,NG-import-cost,LCDF-import-cost,inv-storage,FOM-storage,g-shed-cost,pipe-est-cost,pipe_FOM,pipe_Dec_cost,emission_g,num-est-pipe,num_decom_pipe,num_operational_pipe,total-ng-shed,total-LCDF-import,total-flowGE,total-flowGL,Production:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
17,joint_CF_with_extreme_days,5,4,RF,0.9,0.5,True,True,False,no-metal-air,0.05303141154243185,2077.0779869556427,304968144947.1886,8715829620.159431,5372345615.921738,137500000.0,2331719600.0,301535286.38593036,0.0,0.0,0.0,0.0,393068596.96166706,0.0,99289803.56859428,80370717.3215031,0.0,0.0,1,14698.752895288335,6541.420075323471,10,0,0,0,1743823.4105673204,296252315327.0292,694370689.6908739,0.0,0.0,1054200000.0,294384354137.33563,91868500.00266674,10362000.0,17160000.0,6749999.999999998,3,19,9,294384354.13733566,0.0,0.0,4452312.026157736,Production:,0.0,468780.0091118003,4445255.647190451,24597418.363594428,0.0,49133729.57269392,27933319.261230387,0.0,21010441.850593194,37083749.1032681,37399841.09240191,0.0,established:,0.0,0.0,0.0,0.0,0.0,89.0,6.0,0.0,2107.0,868.0,813.0,0.0,decommissioned:,35.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power_network_size,cluster_method,Rep-Days,Emis-case,Elec_scenario,reduc-goal,RPS,UC-active?,UC-rlx?,int-vars-rlx?,Metal-air-cost,MI-gap(%),Run time(sec),Total-cost,Power-cost,est-cost,decom-cost,FOM,VOM,nuc-fuel-cost,gas-fuel-cost,startup-cost,e-shed-cost,storage1-cost,storage2-cost,tran-est-cost,trans_FOM,CCS-cost,emission_e,num-est-tran,total-str1-lev,total-str1-cap,num-est-str1,total-str2-lev,total-str2-cap,num-est-str2,total-flow,NG-cost,NG-import-cost,LCDF-import-cost,inv-storage,FOM-storage,g-shed-cost,pipe-est-cost,pipe_FOM,pipe_Dec_cost,emission_g,num-est-pipe,num_decom_pipe,num_operational_pipe,total-ng-shed,total-LCDF-import,total-flowGE,total-flowGL,Production:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,established:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new,decommissioned:,ng,solar,wind,hydro,nuclear,OCGT,CCGT,CCGT-CCS,solar-UPV,wind-new,wind-offshore,nuclear-new
17,joint_CF_with_extreme_days,5,4,ME,0.8,0.5,True,True,False,no-metal-air,0.03296388097475289,2221.164027929306,93739871049.73817,9343829614.407274,5869937001.806358,138000000.0,2550937600.0,347695770.8611058,0.0,0.0,0.0,0.0,365337150.2120421,0.0,0.0,71922091.52777812,0.0,0.0,0,13271.225711583344,6402.74669246371,10,0,0,0,1779438.9598076474,84396041435.3309,1388207547.1698093,0.0,0.0,1054200000.0,81652609940.78508,261099947.3760002,27324000.0,12600000.0,13499999.999999996,5,15,15,81652609.94078496,0.0,0.0,1.5756571308688421e-10,Production:,0.0,471179.10488780035,4547709.340675801,24340892.400531135,0.0,56401448.66446806,32844263.769382905,0.0,17197251.08870628,37268808.558281034,53178617.838643394,0.0,established:,0.0,0.0,0.0,0.0,0.0,91.0,7.0,0.0,1726.0,868.0,1156.0,0.0,decommissioned:,36.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
